iter	Passed	Remaining
1582	32791	8638
1583	32810	8617
1584	32829	8595
1585	32847	8574
1586	32867	8553
1587	32887	8532
1588	32908	8511
1589	32927	8490
1590	32945	8469
1591	32964	8448
1592	32985	8427
1593	33005	8406
1594	33024	8385
1595	33047	8365
1596	33069	8345
1597	33088	8323
1598	33108	8302
1599	33127	8281
1600	33145	8260
1601	33166	8239
1602	33188	8219
1603	33208	8198
1604	33227	8177
1605	33246	8156
1606	33266	8135
1607	33285	8114
1608	33304	8093
1609	33338	8075
1610	33360	8055
1611	33380	8034
1612	33400	8013
1613	33419	7992
1614	33440	7971
1615	33460	7951
1616	33480	7930
1617	33500	7909
1618	33519	7888
1619	33540	7867
1620	33559	7846
1621	33579	7825
1622	33599	7804
1623	33629	7786
1624	33652	7765
1625	33672	7745
1626	33691	7724
1627	33711	7703
1628	33730	7682
1629	33749	7661
1630	33768	7639
1631	33788	7618
1632	33807	7597
1633	33826	7576
1634	33845	7555
1635	33865	7534
1636	33885	7514
1637	33917	7495
1638	33938	7475
1639	33957	7454
1640	33977	7433
1641	33997	7412
1642	34018	7391
1643	34037	7370
1644	34056	7349
1645	34075	7328
1646	34094	7307
1647	34113	7286
1648	34133	7265
1649	34154	7244
1650	34174	7223
1651	34204	7205
1652	34226	7184
1653	34247	7164
1654	34266	7143
1655	34287	7122
1656	34308	7101
1657	34328	7080
1658	34347	7059
1659	34367	7039
1660	34387	7018
1661	34406	6997
1662	34429	6976
1663	34450	6956
1664	34468	6935
1665	34500	6916
